abroad	ở nước ngoài
absence	vắng mặt
absent	vắng mặt, nghỉ
absolute	tuyệt đối
absolutely	chắc chắn rồi
absorb	hấp thụ
abstract	trừu tượng
abuse	lạm dụng
academic	học tập
accelerate	đẩy nhanh
accent	giọng điệu
accept	Chấp nhận
acceptable	chấp nhận được
acceptance	chấp thuận
access	truy cập
accessible	có thể truy cập
accident	Tai nạn
accidental	tình cờ, bất ngờ
accidentally	tình cờ, ngẫu nhiên
accommodate	chứa
accommodation	sự thích nghi, điều tiết
accompany	đi kèm
accomplish	hoàn thành
accomplishment	hoàn thành
according	theo
according to	theo, y theo
account	tài khoản
accountability	trách nhiệm giải trình
accounting	kế toán
accuracy	tính chính xác
accurate	chính xác
accurately	chính xác
accusation	tố cáo
accuse	tố cáo
achieve	Hoàn thành
achievement	thành tích
acid	axit
acknowledge	công nhận
acquire	có được, thu được
acquisition	mua lại
across	băng qua
act	hành động
action	hoạt động
active	đang hoạt động
actively	tích cực
activist	nhà hoạt động
activity	Hoạt động
actor	diễn viên
actress	nữ diễn viên
actual	thực tế
actually	thực ra
ad	quảng cáo
adapt	phỏng theo
add	thêm vào
added	thêm
addition	thêm vào
additional	bổ sung
address	địa chỉ nhà
adequate	đầy đủ
adequately	tương xứng, thỏa đáng
adjust	điều chỉnh
adjustment	điều chỉnh
administer	quản lý
administration	quản trị
administrative	hành chính
administrator	người quản lý
admiration	sự khâm phục,người kp, thán phục
admire	ngưỡng mộ
admission	nhận vào
admit	thừa nhận
adolescent	thanh niên
adopt	thông qua
adoption	nhận con nuôi
adult	người lớn
advance	nâng cao
advanced	nâng cao
advantage	lợi thế
adventure	cuộc phiêu lưu
advertise	báo cho biết, báo cho biết trước
advertisement	quảng cáo
advertising	quảng cáo
advice	khuyên bảo
advise	khuyên nhủ
adviser	cố vấn
advocate	biện hộ
aesthetic	thẩm mỹ
affair	chuyện
affect	có ảnh hưởng đến
afford	đủ khả năng
Afghanistan	Cộng hòa Áp-gha-nít-tan
afraid	sợ
African	Châu Phi
African-American	Người Mỹ gốc Phi
after	sau
afternoon	buổi chiều
afterward	sau đó
afterwards	sau này, về sau, rồi thì, sau đấy
again	lần nữa
against	chống lại
age	tuổi tác
aged	già đi
agency	đại lý
agenda	chương trình nghị sự
agent	đặc vụ
aggression	Hiếu chiến
aggressive	xâm lược
ago	trước
agree	đồng ý
agreement	thỏa thuận
agricultural	nông nghiệp
agriculture	nông nghiệp
ah	ah
ahead	phía trước
aid	viện trợ
aide	trợ lý
aim	mục đích
air	không khí
aircraft	phi cơ
airline	hãng hàng không
airplane	Máy bay
airport	sân bay
aisle	lối đi
alarm	báo thức
alarming	làm lo sợ, làm hốt hoảng, làm sợ hãi
album	album
alcohol	rượu
alcoholic	rượu; người nghiện rượu
alien	người ngoài hành tinh
alike	như nhau
alive	sống sót
all	tất cả các
all right	tốt, ổn, khỏe mạnh; được
allegation	cáo buộc
alleged	cáo buộc
allegedly	bị cáo buộc
alley	hẻm
alliance	liên minh
allied	lien minh, đồng minh, thông
allow	cho phép
ally	đồng minh
almost	hầu hết
alone	một mình
along	dọc theo
alongside	bên cạnh
aloud	lớn tiếng, to tiếng
alphabet	bảng chữ cái, bước đầu, điều cơ bản
alphabetical	thuộc bảng chứ cái
alphabetically	theo thứ tự abc
already	đã
also	cũng thế
alter	thay đổi
alternative	thay thế
although	mặc dù
altogether	hoàn toàn
aluminum	nhôm
always	luôn luôn
AM	LÀ
amaze	làm ngạc nhiên, làm sửng sốt
amazed	kinh ngạc, sửng sốt
amazing	kinh ngạc
ambassador	đại sứ
ambition	tham vọng
ambitious	đầy tham vọng
ambulance	xe cứu thương, xe cấp cứu
amendment	sửa đổi
American	Người Mỹ
amid	giữa
among	trong số
amount	số lượng
amuse	làm cho vui, thích, làm buồn cười
amused	vui thích
amusing	vui thích
analyse	phân tích
analysis	phân tích
analyst	nhà phân tích
analyze	phân tích
ancestor	tổ tiên
